depth	id	text	label	desc	term	page	arabic_text	arabic_desc
0	root	Mulakhkhaṣ						
1	mantiq	Manṭiq						
2	muq		Muqaddima	Premise		7		
3	muq-1	(i) Need for logic				7		
3	muq-2	(ii) Subject matter of logic				9		
2	maq1	1	Jumla	How conceptions are acquired		11		
3	maq1-1	1.1	Bāb	Premises		13		
4	maq1-1-1	1.1.1		Division of all investigations in this area		15		
4	maq1-1-2	1.1.2		Investigations of correspondence, containment, and implication		19		
5	maq1-1-2-1	Signification of implication in the sciences				20		
4	maq1-1-3	1.1.3		Investigations of simple and compound		22		
4	maq1-1-4	1.1.4		Investigations of universal and particular		25		
5	maq1-1-4-1	1.1.4.1		[Division of universal]		25		
5	maq1-1-4-2	1.1.4.2		[Real particular and relational particular]		26		
5	maq1-1-4-3	1.1.4.3		[Natural universal, logical universal, intellectual universal]		27		
5	maq1-1-4-4	1.1.4.4		[Criticism of the claim that the intellectual universal is a mental form]		28		
5	maq1-1-4-5	1.1.4.5		[Proof that the universal exists outside]		30		
5	maq1-1-4-6	1.1.4.6		[The contradictory of the more general is more specific]		30		
5	maq1-1-4-7	1.1.4.7		[The four relations]		31		
5	maq1-1-4-8	1.1.4.8		[The universal being better known than the particular]		31		
5	maq1-1-4-9	1.1.4.9		[How the perception of the determinate individual insofar as it is that individual is possible]		31		
5	maq1-1-4-10	1.1.4.10		[Whether individuality is a thing established in addition to the quiddity]		32		
5	maq1-1-4-11	1.1.4.11		[Univocal and equivocal predication]		33		
4	maq1-1-5	1.1.5		Subject and predicate		34		
4	maq1-1-6	1.1.6		Investigations of the quiddity		36		
5	maq1-1-6-1	1.1.6.1 [Criticism of the claim that what is said in response to "What is it?" is the more general <i>dhātī</i>				36		
5	maq1-1-6-2	1.1.6.2		[Difference between what is said in response to "What is it?", by way of "What is it?" and included in "What is it?"]		37		
5	maq1-1-6-3	1.1.6.3		[What is said in response to "What is it?" by sharing]		37		
5	maq1-1-6-4	1.1.6.4		What signifies the quiddity ought not to be called dhātī		38		
4	maq1-1-7	1.1.7		Investigations of the part of the quiddity		39		
5	maq1-1-7-1	1.1.7.1		[The parts of the quiddity are prior to the quiddity in external existence]		39		
5	maq1-1-7-2	1.1.7.2		[The part is sometimes prior to the whole and sometimes posterior]		41		
5	maq1-1-7-3	1.1.7.3		[The part of a quiddity cannot be a characteristic (ṣifa) of it]		42		
5	maq1-1-7-4	1.1.7.4		[The part of a quiddity is prior in the mind]		43		
5	maq1-1-7-5	1.1.7.5		[Divisions of the composition of quiddity]		43		
5	maq1-1-7-6	1.1.7.6 [A group\				44		
5	maq1-1-7-7	1.1.7.7		[Part of a quiddity is not receptive to being stronger or weaker]		45		
5	maq1-1-7-8	1.1.7.8		[The parts of quiddity are finite]		45		
5	maq1-1-7-9	1.1.7.9		[The quiddity is realized or considered]		46		
5	maq1-1-7-10	1.1.7.10		[The parts of the quiddity are not more obscure than it]		46		
5	maq1-1-7-11	1.1.7.11		[Meanings of dhātī]		47		
4	maq1-1-8	1.1.8	Mabḥath	Investigations of the external implicates	lawāzim khārijiyya	50		
5	maq1-1-8-1	1.1.8.1		[Definition of the external implicate]		50		
5	maq1-1-8-2	1.1.8.2		[Existence of the external implicate]		51		
5	maq1-1-8-3	1.1.8.3		[The implicate without middle]		52		
5	maq1-1-8-4	1.1.8.4		[The implicate with middle]		52		
5	maq1-1-8-5	1.1.8.5		[The proximate implicate of the quiddity evidently belongs to it]		52		
5	maq1-1-8-6	1.1.8.6		[Knowledge that the implicate with middle belongs rests on knowledge of that middle]		54		
5	maq1-1-8-7	1.1.8.7		[Whether the simple quiddity has an implicate or not]		54		
5	maq1-1-8-8	1.1.8.8		[Whether two implicates together necessarily follow from the simple]		55		
5	maq1-1-8-9	1.1.8.9		[Division of the implicates]		55		
4	maq1-1-9	1.1.9	Mabḥath	Investigations of the genus		58		
5	maq1-1-9-1	1.1.9.1						
5	maq1-1-9-2	1.1.9.2						
5	maq1-1-9-3	1.1.9.3						
5	maq1-1-9-4	1.1.9.4						
5	maq1-1-9-5	1.1.9.5						
5	maq1-1-9-6	1.1.9.6						
5	maq1-1-9-7	1.1.9.7						
4	maq1-1-10	1.1.10	Mabḥath	Investigations of the species		66		
5	maq1-1-10-1	1.1.10.1		[Real species and relational species]		66		
5	maq1-1-10-2	1.1.10.2		[Refutation of the view that the real species is more specific than the relational species absolutely]		67		
5	maq1-1-10-3	1.1.10.3		[The species in the five universals is a real species]		68		
5	maq1-1-10-4	1.1.10.4		[Ranks of the species]		68		
5	maq1-1-10-5	1.1.10.5		[Most specific species]	nawʿ al-anwāʿ	68		
5	maq1-1-10-6	1.1.10.6		[Whether one individual is enough for something to be a species]		69		
4	maq1-1-11	1.1.11	Mabḥath	Investigations shared by species and genus		70		
5	maq1-1-11-1	1.1.11.1		[The logical genus is not constitutive either of the natural species or of the relational species]		70		
5	maq1-1-11-2	1.1.11.2		[Genus and species, before, with, and after plurality]		71		
5	maq1-1-11-3	1.1.11.3		[Finitude of summa genera and infimae species]		72		
5	maq1-1-11-4	1.1.11.4		[The genus is extensionally greater than the species and the species is intensionally greater than the genus]		73		
4	maq1-1-12	1.1.12	Mabḥath	Investigations of the differentia		73		
5	maq1-1-12-1	1.1.12.1		[How the differentia constitutes the genus]		71		
5	maq1-1-12-2	1.1.12.2		[Whether the constitutive differentia of the species can be said in response to "What is it?"]		72		
5	maq1-1-12-3	1.1.12.3		[The differentia is divisive of the genus and constitutive of the species]		74		
5	maq1-1-12-4	1.1.12.4		[The highest genus has a divisive differentia but not a constitutive differentia]		74		
5	maq1-1-12-5	1.1.12.5		[Every constitutive differentia of the highest genus is constitutive of the lower]		75		
5	maq1-1-12-6	1.1.12.6		[Refutation of the claim that all divisive differentia must be constitutive]		77		
5	maq1-1-12-7	1.1.12.7		[The differentia at one single stage is only one]		78		
5	maq1-1-12-8	1.1.12.8		[Every species has a differentia that constitutes it and divides its genus]		79		
5	maq1-1-12-9	1.1.12.9		[Criticism of the deduction of the upward finitude of genera ]		79		
5	maq1-1-12-10	1.1.12.10		[A single differentia constitutes a single species only]		80		
5	maq1-1-12-11	1.1.12.11		[The differentia cannot cease with the species remaining]		80		
5	maq1-1-12-12	1.1.12.12		[The differentia is sometimes composite and sometimes simple]		81		
5	maq1-1-12-13	1.1.12.13		[The logical differentia and the simple differentia]		82		
5	maq1-1-12-14	1.1.12.14		[The differentia sharing in with the species and being distinct from it]		82		
5	maq1-1-12-15	1.1.12.15		[Their claim that what is said in response to "Which?" by itself is what is said in response to "What is it?"]		83		
5	maq1-1-12-16	1.1.12.16		[Descriptions of the differentia]		83		
4	maq1-1-13	1.1.13	Mabḥath	Investigations of the proprium		85		
4	maq1-1-14	1.1.14	Mabḥath	Investigations of the common accident		87		
4	maq1-1-15	1.1.15	Mabḥath	How the five are hunted		89		
4	maq1-1-16	1.1.16	Mabḥath	Characteristics shared by the five		92		
3	maq1-2	1.2	Bāb	Goals, that is the discussion of definitions and descriptions		99		
4	maq1-2-1	1.2.1		Division of definitions	taʿrīfāt	101		
5	maq1-2-1-1	1.2.1.1Doubts on the division of definitions				102		
5	maq1-2-1-2	1.2.1.2		Criticism of the replies of the group to the doubts		104		
5	maq1-2-1-3	1.2.1.3		Replies to the doubts		105		
4	maq1-2-2	1.2.2		Division of quiddities with respect to definition	ḥadd	107		
4	maq1-2-3	1.2.3		The simples conceptualized by a conception devoid of acquisition		109		
4	maq1-2-4	1.2.4		On the fact that not everyone who makes the thing known by mentioning its parts makes it known by definition		110		
4	maq1-2-5	1.2.5		On the fact that definition is not acquired by proof		111		
4	maq1-2-6	1.2.6		On the fact that adding to the definition is not possible whereas adding to the description is possible		112		
4	maq1-2-7	1.2.7		On the mutual relationship (munāsaba) between definitions and descriptions		113		
4	maq1-2-8	1.2.8		Rebuke of definitions and descriptions		115		
4	maq1-2-9	1.2.9		Difficulty in the composition of definitions		118		
2	maq2	2	Jumla	How assertions are acquired		119		
3	maq2-1	2.1	Bāb	Valuations (aḥkām) of Propositions		121		
4	maq2-1-1	Premise	muqaddima			123		
4	maq2-1-2	(i)	Mabḥath	Definition of proposition		123		
4	maq2-1-3	(ii)	Mabḥath	Division of propositions		124		
4	maq2-1-4	2.1.1		Categorical propositions		129		
5	maq2-1-1-1	2.1.1.1		Elements of propositions		129		
6	maq2-1-1-1-form	2.1.1.1.1		Form	ṣūra	129		
7	maq2-1-1-1-form-mna	2.1.1.1.1.1		Meaning	maʿnan	129		
8	maq2-1-4-1-1			(i) [The nexus (nisba) is distinct from subject and predicate]		129		
8	maq2-1-4-1-2			(ii) [The nexus of the subject to the predicate is other than the nexus of the predicate to the subject]		130		
7	maq2-1-1-1-form-laf	2.1.1.1.1.2		Expression	lafẓ	130		
8	maq2-1-4-1-3			(i) [The bipartite proposition]		130		
8	maq2-1-4-1-4			(ii) [The natural place of the copula]		130		
